,TEM,TIT,CON,ENL,IMG,FEC
247,Enlaces,,vocabulario español / hipálage,https://www.retoricas.com/2011/01/ejemplos-de-hipalage.html,https://upload.wikimedia.org/wikipedia/commons/6/6a/Johann_Sebastian_Bach.jpg,2025-02-24 16:47
246,Enlaces,,diccionarios inglés / Dictionary.com,https://www.dictionary.com,,2025-02-24 16:45
245,Enlaces,,vocabulario inglés / munch,https://www.merriam-webster.com/dictionary/munch,,2025-02-24 10:17
244,Vocabulario inglés-español,trial [s.],"trial [s.] dificultad, tribulación, prueba, adversidad ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:49
243,Vocabulario inglés-español,adventurous [adj.],"adventurous [adj.] osado, audaz, temerario, intrépido ¶ and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. It will be found more adventurous than its predecessors, and the trials which Charlie is called upon to encounter are of a severer character than befell Frank Frost or Paul Prescott. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:41
242,Vocabulario inglés-español,story of the sea [s.c.],"story of the sea [s.c.] historia de mar; relato de mar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:38
241,Vocabulario inglés-español,essay [v.],"essay [v.] intentar; ensayar ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 19:34
240,Enlaces,,diccionarios español / Diccionario histórico de la lengua española,https://www.rae.es/dhle/,,2025-02-23 11:52
239,Enlaces,,diccionarios chino-inglés / Cedict – is.gd/cedict,https://www.mdbg.net/chinese/dictionary,,2025-02-23 11:48
238,Vocabulario inglés-español,expressed wishes [s.c.],"expressed wishes [s.c.] deseos manifiestos ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-23 10:47
237,Apotegmas,,"Que las vanas complejidades y mojigaterías del reino de los cielos no te extravíen ni te distraigan de la simpleza y el amor absoluto de Dios. Permanece firme, deséchalo todo, no te dividas.",,,2025-02-23 10:05
236,Apotegmas,,"Del Diablo sólo viene la condenación, y de Dios solamente la salvación.",,,2025-02-23 09:51
235,Apotegmas,,Se regocijan en el cielo por cada persona que dirige todo su ser en oración a Dios. Literalmente hay fiesta.,,,2025-02-22 10:40
234,Citas,,Conocimiento es saber que el tomate es una fruta. Sabiduría es no ponerlo en la ensalada de frutas. – Anónimo,,,2025-02-22 08:09
233,Enlaces,,canales en YouTube / Andy Ward's Ancient Pottery - @AncientPottery,https://www.youtube.com/@AncientPottery/videos,,2025-02-22 07:36
232,Enlaces,,vocabulario inglés / threshold,https://www.merriam-webster.com/dictionary/threshold,,2025-02-20 22:31
231,Apotegmas,,"No olvides que Dios no es omnipotente, porque no puede forzarte a volverte a él. Entonces, has de definir tus intenciones, tomar las decisiones mejores, abrazar su voluntad. Y, sobre todo, no caigas en la ilusión de que has sido elegido, pues Dios nunca hace acepción de personas.",,,2025-02-20 22:29
230,Enlaces,,Johann Sebastian Bach / lista completa de sus composiciones,https://musopen.org/music/composer/johann-sebastian-bach/pieces/,,2025-02-20 11:32
229,Reflexiones,,"No seas una oveja, sé una cabra: sube al monte al encuentro con Dios. Sabes que tú eres el monte, ¿verdad? Sabes que la zarza es la Luz de Dios en ti, ¿verdad? Sabes que quienes no suben son los que no quieren morir en la carne, que es su falsa religiosidad, ¿verdad?",,,2025-02-19 21:52
228,Apotegmas,,"Una vez que empiezas a usar fetiches, amuletos y baratijas para que te vaya bien, se te hará muy difícil dejar el vicio para volver a confiar en Dios. Es el mismo mecanismo que el de las apuestas.",,,2025-02-19 21:48
227,Apotegmas,,"No mires mi humildad, Señor, porque es falsa; tampoco mi altivez, porque es ignorancia. Sólo quiero tu amor, y con eso basta.",,,2025-02-19 10:01
226,Apotegmas,,"Mientras más aberraciones puede normalizar la Agenda, más feliz es. No le demos el gusto.",,,2025-02-19 07:52
225,Enlaces,,vocabulario español / grimorio,https://dle.rae.es/grimorio,,2025-02-18 20:30
224,Diario,,"El sitio ha alcanzado plena funcionalidad y se han corregido las fallas de programación. Faltan algunos detalles, además de la posibilidad de mostrar imágenes desde la base de datos. Otras implementaciones vendrán después, pero con menos urgencia.",,,2025-02-18 14:38
223,Enlaces,,vocabulario latín-inglés / vincor,https://www.lingq.com/en/learn-latin-online/translate/la/vincor/,,2025-02-18 14:37
222,Vocabulario inglés-español,in deference to [loc.],"in deference to [loc.] en consideración a ¶ In deference to the expressed wishes of some of his young friends, the author has essayed a story of the sea, and now presents Charlie Codman's Cruise, as the third volume of the Campaign Series. – Charlie Codman's Cruise, a Story for Boys; by Horatio Alger, Jr.",,,2025-02-18 13:06
221,Diario,,"Hoy terminé de subir todos mis enlaces de interés a un repositorio en GitHub, miles de ellos. El sitio cuenta con posibilidades de busca, copia y descarga.",https://enlcs.github.io,,2025-02-17 20:11
220,Reflexiones,,Ahora resulta que pie grande era un adelantado a su tiempo que se autopercibía oso o chimpancé según el día de la semana. Un incomprendido.,,,2025-02-16 00:02
219,Vocabulario inglés-español,cast iron [s.c.],cast iron [s.c.] hierro fundido,,,2025-02-13 22:08
218,Vocabulario inglés-español,wrought iron [s.c.],wrought iron [s.c.] hierro forjado,,,2025-02-13 22:07
217,Enlaces,,canales en YouTube / Jesús G. Maestro - @JesusGMaestro,https://www.youtube.com/@JesusGMaestro/videos,,2025-02-13 22:04
216,Enlaces,,diccionarios francés / Dictionnaire de l'Académie française,https://www.dictionnaire-academie.fr,,2025-02-13 22:02
215,Vocabulario español,"extemporáneo, ea [adj.]","SINÓNIMOS: extemporáneo; inadecuado, impropio, inconveniente, inapropiado; intempestivo, inoportuno, extemporal",,,2025-02-13 15:21
214,Enlaces,,vocabulario español / parsimonia,https://dle.rae.es/parsimonia,,2025-02-13 15:19
213,Enlaces,,vocabulario español / seitán,https://es.wikipedia.org/wiki/Seit%C3%A1n,,2025-02-13 15:18
212,Enlaces,,"vocabulario español / yatrogenia, iatrogenia",https://dle.rae.es/yatrogenia,,2025-02-13 15:16
211,Apotegmas,,"Reducir a Dios a conceptos te hará sentir fuerte y confiado; ¿pero no has leído que Dios está con los humildes, los pobres de espíritu y los niños?",,,2025-02-13 13:53
210,Enlaces,,vocabulario español / mascullar,https://dle.rae.es/mascullar,,2025-02-13 12:01
209,Enlaces,,vocabulario español / sicalipsis,https://dle.rae.es/sicalipsis,,2025-02-13 11:52
208,Enlaces,,canales en YouTube / Let's Talk Religion,https://www.youtube.com/@LetsTalkReligion/videos,,2025-02-13 08:25
207,Enlaces,,vocabulario español / soliviar,https://dle.rae.es/soliviar,,2025-02-12 18:45
206,Vocabulario español,"garzo, -za [adj.]","garzo, -za [adj.] Zarco; de color azulado (dícese de los ojos). — [adj.] Persona de ojos azulados.",,,2025-02-12 14:42
205,Vocabulario inglés-español,drool [v.],drool [v.] babear,,,2025-02-12 14:40
204,Citas,,"Recordad el pasado con gratitud, vivid el presente con entusiasmo y mirad hacia el futuro con confianza. – Juan Pablo II",,,2025-02-12 14:38
203,Apotegmas,,"Cuando alguien cuestione tus convicciones acerca de Dios, no le respondas con sinsentidos filosóficos, historicistas, teológicos y seudoreligiosos. La solución es ser humilde de verdad y expresar con simpleza la única verdad con fundamento: Es un asunto de fe.",,,2025-02-12 13:14
202,Apotegmas,,Hay quien escupe al cielo para sentirse bendecido con la lluvia de Dios.,,,2025-02-11 20:38
201,Reflexiones,,"Bajo la palabra Dios se hace alusión a más variedad de cosas que lo que piensas. Si el contenido de esa palabra en ti es el equivocado, estarás adorando a un falso dios, lo cual es idolatría sin importar si haces una estatua de él o no, pero mucho más si la haces.",,,2025-02-11 20:36
200,Vocabulario inglés-español,lecherous [adj.],"lecherous [adj.] lascivo, lujurioso, libidinoso, licencioso",,,2025-02-11 20:33
199,Apotegmas,,"La santidad está más allá de los vaivenes entre el bien y el mal; pero cuando dices que el bien y el mal no existen, pierdes la posibilidad de acceder a ella.",,,2025-02-11 20:32
198,Reflexiones,,Adivina adivinador: ¿En qué se asemejan la verdad y la mentira? En que ambas separan a las personas.,,,2025-02-11 20:30
