,TEMA,TÍTULO,CONTENIDO,ENLACE,IMAGEN,FECHA
421,Programación básica,Inclusión de la fuente Roboto en un documento HTML,"Incluir en el <code>head</code> del documento HTML: ¶ <pre>&lt;head&gt; ¦ &lt;link href=""https://fonts.googleapis.com/css2?family=Roboto:wght@300;400;500&display=swap"" rel=""stylesheet""&gt; ¦ &lt;/head&gt;</pre> ¶ Incluir en las propiedades CSS del documento HTML: ¶ <pre>body { font-family: 'Roboto', sans-serif; }</pre>",,,2025-04-08 11:20
420,Proverbios chinos,千里之行，始於足下。,"千里之行，始於足下。 Un viaje de mil millas comienza con un solo paso. – Tao Te Ching, Chapter 64; by Lǎozǐ ¶ CT. 千里之行，始於足下。 ¦ CS. 千里之行，始于足下。 ¦ PY. Qiān lǐ zhī xíng, shǐ yú zú xià. ¶ a. 千 (千) [qian1] mil ¦ b. 里 (里) [li3] milla (milla china, de aproximadamente 0.5 km) ¦ c. 之 (之) [zhi1] (partícula posesiva/descriptiva, de uso parecido al actual 的 [de5] pero más formal) ¦ d. 行 (行) [xing2] viaje ¦ e. 始 (始) [shi3] empezar ¦ f. 於 (于) [yu2] en, desde ¦ g. 足 (足) [zu2] pie ¦ h. 下 (下) [xia4] abajo, debajo",,,2025-04-08 11:16
419,Proverbios chinos,塞翁失馬，焉知非福,"塞翁失馬，焉知非福 Cuando el anciano perdió el caballo en la frontera, ¿cómo podía saber que no era una bendición [oculta]? ¶ CT. 塞翁失馬，焉知非福 ¦ CS. 塞翁失马，焉知非福 ¦ PY. Sài wēng shī mǎ, yān zhī fēi fú? ¶ a. 塞 (塞) [sai4] frontera ¦ b. 翁 (翁) [weng1] anciano ¦ c. 失 (失) [shi1] perder ¦ d. 馬 (马) [ma3] caballo ¦ e. 焉 (焉) [yan1] cómo ¦ f. 知 (知) [zhi1] saber ¦ g. 非 (非) [fei1] no ¦ h. 福 (福) [fu2] bendición, fortuna ¶ El proverbio tiene origen en una famosa parábola taoísta (Huáinánzǐ, 《淮南子》, <i>El libro del maestro Huainan</i>, durante la dinastía Han, alrededor de 139 a.C.) acerca de un anciano en la frontera (塞翁) cuyo caballo se pierde (失馬). Aunque esto parecía mala suerte, el caballo regresó junto con otros caballos salvajes, trayéndole buena fortuna. Más adelante, su hijo se rompe una pierna montando uno, lo cual, a su vez, lo salvó de ser reclutado.",,,2025-04-08 11:11
418,Frases chinas,樹很大。,CT. 樹很大。 ¦ CS. 树很大。 ¦ PY. Shù hěn dà. ¦ TR. El árbol es muy grande. ¶ a. 樹 (树) [shu4] árbol ¦ b. 很 (很) [hen3] muy ¦ c. 大 (大) [da4] grande,,,2025-04-07 09:26
417,Frases chinas,我喜歡樹。,CT. 我喜歡樹。 ¦ CS. 我喜欢树。 ¦ PY. Wǒ xǐhuān shù. ¦ TR. Me gustan los árboles. / Me gusta el árbol. ¶ a. 我 (我) [wo3] yo ¦ b. 喜歡 (喜欢) [xi3 huan1] gustar ¦ c. 樹 (树) [shu4] árbol,,,2025-04-07 09:24
416,Caracteres chinos,很 (很) [hěn],"<b>Forma tradicional y simplificada:</b> Radical 60. 彳 [chi4] paso; paso con el pie izquierdo; doble hombre - indica acción, andar, progresión + 艮 [gen4] detenerse; sencillo, directo; dureza, terquedad - en este caso funciona como componente fonético ¶ <b>Significados:</b> 很 (很) [hen3] muy; bastante",,,2025-04-07 09:22
415,Vocabulario inglés-español,turn a blind eye [loc.],"turn a blind eye [loc.] hacer vista gorda; pasar por alto ¶ 1. ""The authorities turned a blind eye to the gambling that went on in the back room of the saloon, so long as the owner paid his monthly 'license fee' on time."" (Twain, The Adventures of Huckleberry Finn, 1885, p. 147) ¶ 2. ""We all knew about the embezzlement, but chose to turn a blind eye because the culprit was the boss's nephew."" (Wharton, The House of Mirth, 1905, p. 213) ¶ 3. ""The police turned a blind eye to the speakeasy operations, having been generously compensated for their discretion."" (Fitzgerald, The Great Gatsby, 1925, p. 82) ¶ 4. ""The headmaster turned a blind eye to the hazing rituals, considering them part of the school's longstanding tradition."" (Salinger, The Catcher in the Rye, 1951, p. 67) ¶ 5. ""The plantation owners turned a blind eye to the overseer's cruelty, so long as the cotton harvests remained abundant."" (Stowe, Uncle Tom's Cabin, 1852, p. 134) ¶ 6. ""The town turned a blind eye to the bootlegger's activities, since he provided jobs during hard times."" (Steinbeck, The Grapes of Wrath, 1939, p. 178) ¶ 7. ""The captain turned a blind eye to the smuggling operation happening right under his nose."" (Melville, Moby-Dick, 1851, p. 302) ¶ 8. ""The bishop turned a blind eye to the priest's transgressions, fearing scandal more than sin."" (Greene, The Power and the Glory, 1940, p. 95) ¶ 9. ""The administration turned a blind eye to the fraternity's dangerous initiations until tragedy finally struck."" (Wolfe, I Am Charlotte Simmons, 2004, p. 276) ¶ 10. ""The guards turned a blind eye to the contraband entering the prison, their palms having been sufficiently greased."" (Dostoevsky, Crime and Punishment, 1866, p. 421) ¶ 11. ""The editor turned a blind eye to the reporter's fabrications, so long as they sold newspapers."" (Dickens, The Life and Adventures of Martin Chuzzlewit, 1844, p. 157) ¶ 12. ""The general turned a blind eye to his soldiers' looting, considering it their rightful spoils of war."" (Heller, Catch-22, 1961, p. 203) ¶ 13. ""The landlord turned a blind eye to the illegal sublets, so long as the rent was paid on time."" (Algren, The Man with the Golden Arm, 1949, p. 88) ¶ 14. ""The judges turned a blind eye to the obvious corruption, not wanting to upset the delicate political balance."" (Kafka, The Trial, 1925, p. 119) ¶ 15. ""The doctors turned a blind eye to the nurse's drug habit until patients began complaining about missing medications."" (Walker, The Color Purple, 1982, p. 165)",,,2025-04-05 13:16
414,Frases chinas,你是學生，是不是？,"CT. 你是學生，是不是？ ¦ CS. 你是学生，是不是？ ¦ PY. Nǐ shì xuéshēng, shì bu shì? ¦ TR. Eres estudiante, ¿no es así? ¶ a. 你 (你) [ni3] tú ¦ b. 是 (是) [shi4] ser ¦ c. 學生 (学生) [xue2 sheng5] estudiante ¦ d. 是 (是) [shi4] ser ¦ e. 不 (不) [bu4] no ¦ f. 是 (是) [shi4] ser",,,2025-04-04 13:21
413,Frases chinas,你是學生，對吧？,"CT. 你是學生，對吧？ ¦ CS. 你是学生，对吧？ ¦ PY. Nǐ shì xuéshēng, duì ba? ¦ TR. Eres estudiante, ¿verdad? ¶ a. 你 (你) [ni3] tú ¦ b. 是 (是) [shi4] ser ¦ c. 學生 (学生) [xue2 sheng1] estudiante ¦ d. 對 (对) [dui4] cierto, correcto ¦ e. 吧 (吧) [ba5] (partícula para formar preguntas confirmativas)",,,2025-04-04 13:19
412,Vocabulario multilingüe,a lo largo de todo el año [loc.] ¦Tmp¦,AL. das ganze Jahr hindurch ¦ AL. das ganze Jahr über ¦ CH. 一年到頭 (一年到头) [yi1 nian2 dao4 tou2] ¦ CH. 長年 (长年) [chang2 nian2] ¦ FR. toute l'année ¦ IN. all year round,,,2025-04-04 13:18
